MK338556.1	MK338556.1	100.000	1387	0.0	100	100
MK338246.1	MK338246.1	100.000	626	0.0	74	43
MK338246.1	MK338246.1	100.000	443	0.0	74	31
MK337932.1	MK337932.1	100.000	552	0.0	90	54
MK337932.1	MK337932.1	100.000	373	0.0	90	36
MK070808.1	MK070808.1	100.000	1262	0.0	100	100
JQ574548.1	JQ574548.1	100.000	658	0.0	100	100
JQ574548.1	HQ548211.1	99.696	658	0.0	100	100
JQ574548.1	HQ548212.1	99.544	658	0.0	100	100
JQ574548.1	HQ548214.1	99.544	658	0.0	100	100
JQ574548.1	HQ548216.1	99.544	658	0.0	100	100
JQ574548.1	HQ548222.1	99.544	658	0.0	100	100
JQ574548.1	HQ548226.1	99.544	658	0.0	100	100
JQ574548.1	HQ548228.1	99.544	658	0.0	100	100
JQ574548.1	HQ548229.1	99.544	658	0.0	100	100
JQ574548.1	GU142764.1	86.730	633	0.0	96	96
JQ574548.1	GU142765.1	86.667	630	0.0	96	96
JQ574548.1	GU142763.1	85.443	632	0.0	96	96
HQ548229.1	HQ548216.1	100.000	658	0.0	100	100
HQ548229.1	HQ548222.1	100.000	658	0.0	100	100
HQ548229.1	HQ548226.1	100.000	658	0.0	100	100
HQ548229.1	HQ548228.1	100.000	658	0.0	100	100
HQ548229.1	HQ548229.1	100.000	658	0.0	100	100
HQ548229.1	HQ548211.1	99.696	658	0.0	100	100
HQ548229.1	HQ548212.1	99.696	658	0.0	100	100
HQ548229.1	HQ548214.1	99.696	658	0.0	100	100
HQ548229.1	JQ574548.1	99.544	658	0.0	100	100
HQ548229.1	GU142764.1	86.730	633	0.0	96	96
HQ548229.1	GU142765.1	86.667	630	0.0	96	96
HQ548229.1	GU142763.1	85.443	632	0.0	96	96
HQ548228.1	HQ548216.1	100.000	658	0.0	100	100
HQ548228.1	HQ548222.1	100.000	658	0.0	100	100
HQ548228.1	HQ548226.1	100.000	658	0.0	100	100
HQ548228.1	HQ548228.1	100.000	658	0.0	100	100
HQ548228.1	HQ548229.1	100.000	658	0.0	100	100
HQ548228.1	HQ548211.1	99.696	658	0.0	100	100
HQ548228.1	HQ548212.1	99.696	658	0.0	100	100
HQ548228.1	HQ548214.1	99.696	658	0.0	100	100
HQ548228.1	JQ574548.1	99.544	658	0.0	100	100
HQ548228.1	GU142764.1	86.730	633	0.0	96	96
HQ548228.1	GU142765.1	86.667	630	0.0	96	96
HQ548228.1	GU142763.1	85.443	632	0.0	96	96
HQ548226.1	HQ548216.1	100.000	658	0.0	100	100
HQ548226.1	HQ548222.1	100.000	658	0.0	100	100
HQ548226.1	HQ548226.1	100.000	658	0.0	100	100
HQ548226.1	HQ548228.1	100.000	658	0.0	100	100
HQ548226.1	HQ548229.1	100.000	658	0.0	100	100
HQ548226.1	HQ548211.1	99.696	658	0.0	100	100
HQ548226.1	HQ548212.1	99.696	658	0.0	100	100
HQ548226.1	HQ548214.1	99.696	658	0.0	100	100
HQ548226.1	JQ574548.1	99.544	658	0.0	100	100
HQ548226.1	GU142764.1	86.730	633	0.0	96	96
HQ548226.1	GU142765.1	86.667	630	0.0	96	96
HQ548226.1	GU142763.1	85.443	632	0.0	96	96
HQ548222.1	HQ548216.1	100.000	658	0.0	100	100
HQ548222.1	HQ548222.1	100.000	658	0.0	100	100
HQ548222.1	HQ548226.1	100.000	658	0.0	100	100
HQ548222.1	HQ548228.1	100.000	658	0.0	100	100
HQ548222.1	HQ548229.1	100.000	658	0.0	100	100
HQ548222.1	HQ548211.1	99.696	658	0.0	100	100
HQ548222.1	HQ548212.1	99.696	658	0.0	100	100
HQ548222.1	HQ548214.1	99.696	658	0.0	100	100
HQ548222.1	JQ574548.1	99.544	658	0.0	100	100
HQ548222.1	GU142764.1	86.730	633	0.0	96	96
HQ548222.1	GU142765.1	86.667	630	0.0	96	96
HQ548222.1	GU142763.1	85.443	632	0.0	96	96
HQ548216.1	HQ548216.1	100.000	658	0.0	100	100
HQ548216.1	HQ548222.1	100.000	658	0.0	100	100
HQ548216.1	HQ548226.1	100.000	658	0.0	100	100
HQ548216.1	HQ548228.1	100.000	658	0.0	100	100
HQ548216.1	HQ548229.1	100.000	658	0.0	100	100
HQ548216.1	HQ548211.1	99.696	658	0.0	100	100
HQ548216.1	HQ548212.1	99.696	658	0.0	100	100
HQ548216.1	HQ548214.1	99.696	658	0.0	100	100
HQ548216.1	JQ574548.1	99.544	658	0.0	100	100
HQ548216.1	GU142764.1	86.730	633	0.0	96	96
HQ548216.1	GU142765.1	86.667	630	0.0	96	96
HQ548216.1	GU142763.1	85.443	632	0.0	96	96
HQ548214.1	HQ548212.1	100.000	658	0.0	100	100
HQ548214.1	HQ548214.1	100.000	658	0.0	100	100
HQ548214.1	HQ548211.1	99.696	658	0.0	100	100
HQ548214.1	HQ548216.1	99.696	658	0.0	100	100
HQ548214.1	HQ548222.1	99.696	658	0.0	100	100
HQ548214.1	HQ548226.1	99.696	658	0.0	100	100
HQ548214.1	HQ548228.1	99.696	658	0.0	100	100
HQ548214.1	HQ548229.1	99.696	658	0.0	100	100
HQ548214.1	JQ574548.1	99.544	658	0.0	100	100
HQ548214.1	GU142764.1	86.888	633	0.0	96	96
HQ548214.1	GU142765.1	86.825	630	0.0	96	96
HQ548214.1	GU142763.1	85.601	632	0.0	96	96
HQ548212.1	HQ548212.1	100.000	658	0.0	100	100
HQ548212.1	HQ548214.1	100.000	658	0.0	100	100
HQ548212.1	HQ548211.1	99.696	658	0.0	100	100
HQ548212.1	HQ548216.1	99.696	658	0.0	100	100
HQ548212.1	HQ548222.1	99.696	658	0.0	100	100
HQ548212.1	HQ548226.1	99.696	658	0.0	100	100
HQ548212.1	HQ548228.1	99.696	658	0.0	100	100
HQ548212.1	HQ548229.1	99.696	658	0.0	100	100
HQ548212.1	JQ574548.1	99.544	658	0.0	100	100
HQ548212.1	GU142764.1	86.888	633	0.0	96	96
HQ548212.1	GU142765.1	86.825	630	0.0	96	96
HQ548212.1	GU142763.1	85.601	632	0.0	96	96
